2025-10-01 16:11:19.527 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-10-01 16:11:19.578 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - Starting AiTeacherApplication using Java 21.0.2 with PID 11016 (D:\project\aiTeacher\target\classes started by wzs in D:\project\aiTeacher)
2025-10-01 16:11:19.579 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-01 16:11:19.634 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-10-01 16:11:19.634 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-10-01 16:11:20.703 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-10-01 16:11:20.716 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-10-01 16:11:20.717 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-01 16:11:20.717 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-10-01 16:11:20.757 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-01 16:11:20.757 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1121 ms
2025-10-01 16:11:21.731 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-10-01 16:11:21.744 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-10-01 16:11:21.755 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2025-10-01 16:11:21.760 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - Started AiTeacherApplication in 2.862 seconds (process running for 3.777)
2025-10-01 16:12:36.925 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-01 16:12:36.925 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-01 16:12:36.926 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-01 16:13:07.876 [http-nio-8081-exec-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-10-01 16:13:08.250 [http-nio-8081-exec-4] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3c31285d
2025-10-01 16:13:08.251 [http-nio-8081-exec-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-10-01 16:13:25.479 [http-nio-8081-exec-3] INFO  c.l.a.controller.AiTeacherController - Received request data: {message=我是中医药老师，出简单的选择题题目，共4题}
2025-10-01 16:13:25.481 [http-nio-8081-exec-3] INFO  c.l.a.controller.AiTeacherController - Auth Header: Bearer************************************
2025-10-01 16:13:25.492 [http-nio-8081-exec-3] INFO  c.l.a.controller.AiTeacherController - Calling DeepSeek API: https://api.deepseek.com/v1/chat/completions
2025-10-01 16:13:45.881 [http-nio-8081-exec-3] INFO  c.l.a.controller.AiTeacherController - API Response Status: 200 OK
2025-10-01 16:13:45.882 [http-nio-8081-exec-3] INFO  c.l.a.controller.AiTeacherController - API Response Body: {"id":"7002d76a-8a73-4150-be6b-33817be0ce16","object":"chat.completion","created":1759306405,"model":"deepseek-chat","choices":[{"index":0,"message":{"role":"assistant","content":"好的，老师！以下是四道简单的中医药基础选择题，难度适中，适合用于课堂小测或随堂练习。\n\n---\n\n**中医药基础知识小测**\n\n**1. 中医理论的核心指导思想是？**\nA. 阴阳五行学说\nB. 气血津液学说\nC. 脏腑经络学说\nD. 四气五味学说\n\n**2. 以下哪项不是中医诊断疾病的基本方法？**\nA. 望\nB. 闻\nC. 问\nD. 切\nE. 测\n\n**3. 一位患者表现为畏寒怕冷、手脚冰凉、喜喝热饮，他最可能是？**\nA. 阴虚证\nB. 阳虚证\nC. 气虚证\nD. 血虚证\n\n**4. 中药“四气”指的是药物的什么性质？**\nA. 酸、苦、甘、辛\nB. 升、降、浮、沉\nC. 寒、热、温、凉\nD. 心、肝、脾、肺\n\n---\n\n**答案及简要解析：**\n\n1.  **答案：A**\n    *   **解析**：阴阳五行学说是中医理论体系的核心，用以说明人体的组织结构、生理功能、疾病的发生发展规律，并指导临床诊断和治疗。\n\n2.  **答案：E**\n    *   **解析**：中医诊断的基本方法是“望、闻、问、切”四诊，合称“四诊合参”。“测”（如现代医学的化验、影像学检查）不是传统中医的诊断方法。\n\n3.  **答案：B**\n    *   **解析**：阳虚证的病机是阳气不足，机体失于温煦，其典型表现就是畏寒怕冷、四肢不温、喜温喜按。\n\n4.  **答案：C**\n    *   **解析**：中药的“四气”又称“四性”，是指寒、热、温、凉四种药性，它反映了药物在影响人体阴阳盛衰、寒热变化方面的作用倾向。\n\n---\n\n希望这些题目能对您的教学有帮助！如果需要调整难度或范围，我可以随时为您修改。"},"logprobs":null,"finish_reason":"stop"}],"usage":{"prompt_tokens":16,"completion_tokens":453,"total_tokens":469,"prompt_tokens_details":{"cached_tokens":0},"prompt_cache_hit_tokens":0,"prompt_cache_miss_tokens":16},"system_fingerprint":"fp_ffc7281d48_prod0820_fp8_kvcache"}
2025-10-01 16:15:00.837 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-10-01 16:15:00.849 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-10-01 16:15:00.855 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-10-01 16:15:00.861 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-10-01 21:07:03.402 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-10-01 21:07:03.452 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - Starting AiTeacherApplication using Java 21.0.2 with PID 948 (D:\project\aiTeacher\target\classes started by wzs in D:\project\aiTeacher)
2025-10-01 21:07:03.453 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-01 21:07:03.521 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-10-01 21:07:03.522 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-10-01 21:07:04.671 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-10-01 21:07:04.682 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-10-01 21:07:04.684 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-01 21:07:04.684 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-10-01 21:07:04.720 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-01 21:07:04.721 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1198 ms
